epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4731.19,0.99106,0.78604,1.41594,0.99019,1,0.995,0.70218,1.07636,0.6257,1.56273,0.000515,0.000515,0.000515
77,4782.02,0.92016,0.74059,1.3551,0.99122,1,0.995,0.70095,1.13137,0.53649,1.53248,0.0004952,0.0004952,0.0004952
78,4832.72,0.93369,0.73615,1.36306,0.98197,1,0.995,0.72347,1.13003,0.54247,1.50314,0.0004754,0.0004754,0.0004754
79,4883.47,0.91597,0.74534,1.35282,0.99107,1,0.995,0.80951,0.88538,0.54883,1.3787,0.0004556,0.0004556,0.0004556
80,4934.14,0.99389,0.79483,1.4185,0.99244,1,0.995,0.81204,0.89871,0.53649,1.41511,0.0004358,0.0004358,0.0004358
81,4985.23,1.00014,0.78315,1.44565,0.99204,1,0.995,0.73971,1.03247,0.56327,1.46726,0.000416,0.000416,0.000416
82,5037.07,0.94865,0.73514,1.40832,0.89188,0.9,0.87914,0.67494,1.20076,0.59541,1.57687,0.0003962,0.0003962,0.0003962
83,5087.96,0.98486,0.73475,1.40397,0.88736,0.9,0.88576,0.67658,1.17648,0.59462,1.5637,0.0003764,0.0003764,0.0003764
84,5139.04,0.98479,0.76431,1.42985,0.98188,1,0.995,0.70527,1.10775,0.63941,1.50836,0.0003566,0.0003566,0.0003566
85,5189.72,0.94883,0.74579,1.37027,0.98559,1,0.995,0.71332,1.11442,0.5944,1.536,0.0003368,0.0003368,0.0003368
86,5241.49,0.96668,0.75121,1.39976,0.89984,1,0.98591,0.7244,1.08452,0.56767,1.49945,0.000317,0.000317,0.000317
87,5292.76,0.85798,0.6794,1.3075,0.99207,1,0.995,0.77195,0.96419,0.51254,1.39709,0.0002972,0.0002972,0.0002972
88,5343.96,0.90121,0.67656,1.34557,0.99273,1,0.995,0.73893,0.92963,0.51594,1.37831,0.0002774,0.0002774,0.0002774
89,5395.8,0.9249,0.71325,1.37227,0.98719,1,0.995,0.78578,0.94349,0.53793,1.37213,0.0002576,0.0002576,0.0002576
90,5447.69,0.89974,0.70688,1.36937,0.98997,1,0.995,0.78327,0.90294,0.51319,1.36539,0.0002378,0.0002378,0.0002378
91,5498.1,0.87922,0.69151,1.48029,0.98798,1,0.995,0.7895,0.90636,0.51506,1.37545,0.000218,0.000218,0.000218
92,5547.37,0.90303,0.65833,1.49521,0.98286,1,0.995,0.7581,0.93048,0.51449,1.39561,0.0001982,0.0001982,0.0001982
93,5597.33,0.89661,0.61953,1.52967,0.97824,1,0.995,0.79625,0.90335,0.54365,1.44158,0.0001784,0.0001784,0.0001784
94,5647.5,0.74581,0.53439,1.35432,0.89661,1,0.98591,0.76834,1.01826,0.59813,1.51522,0.0001586,0.0001586,0.0001586
95,5697.44,0.79827,0.5435,1.45432,0.98675,1,0.995,0.75333,1.03939,0.61793,1.52576,0.0001388,0.0001388,0.0001388
96,5747.06,0.69454,0.50982,1.33278,0.97893,1,0.995,0.76712,0.95499,0.54666,1.46097,0.000119,0.000119,0.000119
97,5797.79,0.71501,0.51318,1.35872,0.99069,1,0.995,0.78887,0.89632,0.54342,1.40397,9.92e-05,9.92e-05,9.92e-05
98,5847.82,0.77729,0.53907,1.3922,0.97873,1,0.995,0.7889,0.8805,0.54593,1.38896,7.94e-05,7.94e-05,7.94e-05
99,5897.29,0.681,0.49121,1.30637,0.98049,1,0.995,0.78464,0.87261,0.54966,1.38006,5.96e-05,5.96e-05,5.96e-05
100,5946.62,0.68082,0.4799,1.30451,0.9798,1,0.995,0.75884,0.89264,0.56126,1.38646,3.98e-05,3.98e-05,3.98e-05
